"Provider Profiles","Contacts 1","Contacts 2","Contacts 3","Contacts 4","Contacts 5","Contacts 6","Contacts 7","Contacts 8","Contacts 9","Contacts 10","Contacts 11","Contacts 12","Contacts 13","Contacts 14","Contacts 15","Contacts 16","Contacts 17","Contacts 18","Contacts 19","Contacts 20","Contacts 21","Contacts 22","Contacts 23","Contacts 24",,"Decisions 1","Decisions 2","Decisions 3","Decisions 4","Decisions 5","Decisions 6","Decisions 7","Decisions 8","Decisions 9","Decisions 10","Decisions 11","Decisions 12","Decisions 13","Decisions 14","Decisions 15","Decisions 16","Decisions 17","Decisions 18","Decisions 19","Decisions 20","Decisions 21","Decisions 22","Decisions 23","Decisions 24","Average of Arrival to Provider Hrs","Average of Provider to Decision Hrs","Average of Decision to Depart Hrs","Admit %","Discharge %"
"D - APP - R",2.078,1.65,1.714,1.61,1.425,1.544,0.987,0.324,0.556,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.753,1.35,1.805,1.506,1.4,1.57,1.519,1.27,0.926,1,0.667,1,1,0,0,0,0,0,0,0,0,0,0,0,0.517,1.617,0.667,,
"D - APP - S",2.183,1.574,1.524,1.623,1.645,1.333,1.016,0.526,0.075,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5,1.115,1.381,1.623,1.581,1.476,1.286,1.684,1.2,0.75,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533,1.933,0.5,,
"D - APP - T",1.745,1.635,1.196,1.061,1.56,1.549,0.889,0.615,0.5,0.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.638,1.212,1.216,1.449,1.24,1.392,1.37,1.212,1.083,0.733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483,1.433,0.517,,
"D - APP - U",2.137,1.585,1.407,1.582,1.491,1.407,0.63,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.49,1.075,1.167,1.255,1.436,1.222,1.426,1.5,1.152,0.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467,2.15,0.467,,
"D - APP - V",2.3,1.7,1.286,1.333,1.154,1.231,0.583,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.9,1.75,1.381,1.389,1.385,1.231,1.25,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617,1.6,0.6,,
"D - APP - W",1.804,1.389,1.225,1.239,1.267,0.99,0.782,0.525,0.333,0.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.49,0.815,1.18,1.385,1.286,1.089,1.406,1.263,0.897,0.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433,1.667,0.467,,
"D - APP - X",2,1.333,0.667,1,1.667,1,1,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0.333,0.333,0.667,1.667,1.333,0.667,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.283,0.417,,
"D - APP - Y",1.5,1.258,1.168,0.86,1.122,0.944,0.689,0.339,0.19,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.255,0.875,1.096,1.099,0.984,1,1.049,1.026,0.714,0.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467,1.617,0.35,,
"D - APP - Z",1.538,0.929,0.786,1.143,0.786,0.867,0.429,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.462,0.357,0.714,2,1,0.467,0.857,1.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.917,0.533,,
"D - APP - Za",1.478,1,0.739,0.958,0.792,0.5,0.375,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.261,0.696,1.217,0.75,0.708,0.833,0.917,0.947,1.667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,1.8,0.467,,
"D - Doc - /Robot",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0.371,1.038,1.579,1.832,1.877,1.891,1.859,1.989,1.874,0.274,0.294,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0.531,4.099,0.94,,
"D - Doc - 2018",2.636,2.051,1.764,1.967,1.741,1.479,0.978,0.534,0.289,0.099,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0,0,,0.371,1.038,1.579,1.832,1.877,1.891,1.859,1.989,1.874,0.274,0.294,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0.531,4.099,0.94,,
"D - Doc - A",3.705,2.371,1.971,2.356,2.212,1.75,0.894,0.438,0.537,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0.552,1.438,2.257,2.308,2.356,2.654,2.721,1.615,1.878,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0.483,4.05,1.2,,
"D - Doc - B",3.193,2.807,2.295,2.506,2.079,1.831,1.551,1.591,0.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.58,1.239,2.17,2.124,2.573,2.685,2.213,1.841,2.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617,4.5,1.067,,
"D - Doc - C",2.744,2.564,1.872,2.308,2.103,1.769,1.692,1.308,0.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.487,0.974,1.795,2.282,2.026,2.538,2.41,2.179,2.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.767,4.683,1.017,,
"D - Doc - D",3.051,2.416,2.351,2.312,1.779,1.584,1.065,0.365,0.227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.487,1.481,1.961,2.169,2.078,2.234,2.312,1.878,2.909,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517,4.167,1.233,,
"D - Doc - E",3.563,2.318,2.039,2.731,2.308,1.508,0.854,0.333,0.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.242,1.333,2.023,2.331,2.238,2.331,2.408,2.163,2.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533,4.767,1.15,,
"D - Doc - F",3.5,1.5,2,2,2,1.5,2,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.5,1,1.5,2,1.5,1,1.5,4,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783,5.167,0.833,,
"D - Doc - G",2.892,2.6,2.132,2.225,2.242,2.008,1.067,0.367,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.7,1.708,2.165,2.358,2.283,2.492,2.3,2.258,2.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533,4.45,1.25,,
"D - Doc - H",3.125,2.386,2.295,2.523,1.83,1.841,1,0.352,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.625,1.432,2.261,2.295,2.318,2.125,2.091,2.114,1.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433,4.45,1.15,,
"D - Doc - I",3.213,2.342,1.848,2.418,1.962,1.897,1.038,0.368,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.4,1.215,1.886,2.051,2.077,2.436,1.974,2.5,2.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,4.517,1.15,,
"D - Doc - J",2.684,2.273,1.818,2.069,1.922,1.735,1.422,0.892,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.357,1.061,1.869,2.216,2.147,2.118,2.225,1.951,1.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617,4.2,0.983,,
"D - Doc - K",2.142,2.179,1.981,2.179,1.783,1.604,1.491,1.257,0.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.311,1.274,1.774,2.066,2.198,2.415,1.934,1.867,2.231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,4.383,0.933,,
"D - Doc - L",3.178,2.28,1.869,2.102,1.981,1.602,0.926,0.546,0.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.346,1.318,1.654,1.981,2.083,2.037,1.981,1.806,1.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467,4.283,1.017,,
"D - Doc - M",3.031,2.273,1.963,2.006,1.913,1.488,0.783,0.421,0.349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.363,1.019,1.646,1.931,2.062,2.131,2.242,1.755,2.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517,4.683,0.967,,
